Sku,Name,Description,Brand,CategoryName,SubCategoryName,Price,Currency,StockQuantity,Sizes,Colors,Material
MEN-SHIR-001,Levis Premium Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Levis,Men,Shirts,2851.99,USD,33,S|M|L|XL|XXL,Black,Cotton
MEN-SHIR-002,Wrangler Classic Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Wrangler,Men,Shirts,3096.99,USD,79,S|M|L|XL|XXL,Khaki,Leather
MEN-SHIR-003,Peter England Classic Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Peter England,Men,Shirts,3123.99,USD,165,S|M|L|XL|XXL,Olive,Linen
MEN-SHIR-004,Louis Philippe Signature Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Louis Philippe,Men,Shirts,3415.99,USD,28,S|M|L|XL|XXL,Maroon,Linen
MEN-SHIR-005,Arrow Essential Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Arrow,Men,Shirts,2587.99,USD,2,S|M|L|XL|XXL,Brown|Grey|Olive,Cotton
MEN-SHIR-006,US Polo Designer Shirts,Premium quality shirts for men. Crafted from wool for lasting comfort and style.,US Polo,Men,Shirts,2187.99,USD,123,S|M|L|XL|XXL,White,Wool
MEN-SHIR-007,Arrow Everyday Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Arrow,Men,Shirts,1996.99,USD,142,S|M|L|XL|XXL,Navy Blue,Canvas
MEN-SHIR-008,Zara Man Essential Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Zara Man,Men,Shirts,1801.99,USD,110,S|M|L|XL|XXL,White|Khaki|Maroon,Leather
MEN-SHIR-009,HRX Premium Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,HRX,Men,Shirts,1045.99,USD,21,S|M|L|XL|XXL,Grey,Canvas
MEN-SHIR-010,Louis Philippe Modern Shirts,Premium quality shirts for men. Crafted from polyester for lasting comfort and style.,Louis Philippe,Men,Shirts,3312.99,USD,38,S|M|L|XL|XXL,White,Polyester
MEN-SHIR-011,Wrangler Modern Shirts,Premium quality shirts for men. Crafted from polyester for lasting comfort and style.,Wrangler,Men,Shirts,1047.99,USD,120,S|M|L|XL|XXL,Sky Blue|Charcoal,Polyester
MEN-SHIR-012,Arrow Urban Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Arrow,Men,Shirts,3739.99,USD,81,S|M|L|XL|XXL,White|Olive,Canvas
MEN-SHIR-013,Jack & Jones Essential Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,Jack & Jones,Men,Shirts,2027.99,USD,105,S|M|L|XL|XXL,Charcoal|Grey|Olive,Denim
MEN-SHIR-014,Jack & Jones Everyday Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Jack & Jones,Men,Shirts,4789.99,USD,189,S|M|L|XL|XXL,Charcoal|Black,Leather
MEN-SHIR-015,Raymond Modern Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Raymond,Men,Shirts,1400.99,USD,106,S|M|L|XL|XXL,Grey|Khaki|Maroon,Leather
MEN-SHIR-016,Jack & Jones Relaxed Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Jack & Jones,Men,Shirts,2541.99,USD,153,S|M|L|XL|XXL,Khaki|Grey,Linen
MEN-SHIR-017,Arrow Relaxed Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Arrow,Men,Shirts,1904.99,USD,184,S|M|L|XL|XXL,White|Khaki|Black,Canvas
MEN-SHIR-018,Louis Philippe Designer Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Louis Philippe,Men,Shirts,637.99,USD,68,S|M|L|XL|XXL,Navy Blue|Olive,Leather
MEN-SHIR-019,Levis Premium Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Levis,Men,Shirts,4290.99,USD,58,S|M|L|XL|XXL,White|Maroon|Khaki,Cotton
MEN-SHIR-020,Levis Urban Shirts,Premium quality shirts for men. Crafted from polyester for lasting comfort and style.,Levis,Men,Shirts,3435.99,USD,172,S|M|L|XL|XXL,Grey|Charcoal,Polyester
MEN-SHIR-021,US Polo Essential Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,US Polo,Men,Shirts,1900.99,USD,108,S|M|L|XL|XXL,Charcoal|White|Sky Blue,Denim
MEN-SHIR-022,HRX Premium Shirts,Premium quality shirts for men. Crafted from wool for lasting comfort and style.,HRX,Men,Shirts,2327.99,USD,0,S|M|L|XL|XXL,Olive|Brown|White,Wool
MEN-SHIR-023,US Polo Modern Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,US Polo,Men,Shirts,4761.99,USD,177,S|M|L|XL|XXL,Khaki|Olive,Denim
MEN-SHIR-024,Peter England Slim Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Peter England,Men,Shirts,2181.99,USD,22,S|M|L|XL|XXL,White,Cotton
MEN-SHIR-025,Louis Philippe Modern Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Louis Philippe,Men,Shirts,503.99,USD,130,S|M|L|XL|XXL,Maroon,Cotton
MEN-SHIR-026,Zara Man Everyday Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Zara Man,Men,Shirts,4149.99,USD,133,S|M|L|XL|XXL,Grey,Canvas
MEN-SHIR-027,Peter England Sporty Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Peter England,Men,Shirts,2120.99,USD,115,S|M|L|XL|XXL,White|Brown|Charcoal,Leather
MEN-SHIR-028,Wrangler Designer Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Wrangler,Men,Shirts,2992.99,USD,132,S|M|L|XL|XXL,Grey,Cotton
MEN-SHIR-029,Louis Philippe Designer Shirts,Premium quality shirts for men. Crafted from wool for lasting comfort and style.,Louis Philippe,Men,Shirts,3284.99,USD,106,S|M|L|XL|XXL,Brown,Wool
MEN-SHIR-030,Arrow Signature Shirts,Premium quality shirts for men. Crafted from wool for lasting comfort and style.,Arrow,Men,Shirts,4269.99,USD,157,S|M|L|XL|XXL,Black|Navy Blue|Sky Blue,Wool
MEN-SHIR-031,Raymond Premium Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Raymond,Men,Shirts,991.99,USD,99,S|M|L|XL|XXL,Grey|Sky Blue,Cotton
MEN-SHIR-032,Louis Philippe Sporty Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Louis Philippe,Men,Shirts,2990.99,USD,22,S|M|L|XL|XXL,Charcoal,Linen
MEN-SHIR-033,Louis Philippe Essential Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Louis Philippe,Men,Shirts,943.99,USD,59,S|M|L|XL|XXL,Khaki|Brown|Sky Blue,Canvas
MEN-SHIR-034,Levis Sporty Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,Levis,Men,Shirts,2678.99,USD,8,S|M|L|XL|XXL,Brown,Denim
MEN-SHIR-035,Arrow Premium Shirts,Premium quality shirts for men. Crafted from wool for lasting comfort and style.,Arrow,Men,Shirts,3520.99,USD,174,S|M|L|XL|XXL,Navy Blue|Khaki|Charcoal,Wool
MEN-SHIR-036,Arrow Premium Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,Arrow,Men,Shirts,1195.99,USD,130,S|M|L|XL|XXL,Sky Blue|White,Denim
MEN-SHIR-037,US Polo Sporty Shirts,Premium quality shirts for men. Crafted from polyester for lasting comfort and style.,US Polo,Men,Shirts,986.99,USD,181,S|M|L|XL|XXL,Brown|Maroon|Olive,Polyester
MEN-SHIR-038,Levis Premium Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Levis,Men,Shirts,4478.99,USD,38,S|M|L|XL|XXL,Olive|Khaki|Charcoal,Leather
MEN-SHIR-039,Raymond Classic Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,Raymond,Men,Shirts,3639.99,USD,142,S|M|L|XL|XXL,Charcoal,Denim
MEN-SHIR-040,HRX Designer Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,HRX,Men,Shirts,1672.99,USD,135,S|M|L|XL|XXL,White|Black,Canvas
MEN-SHIR-041,HRX Premium Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,HRX,Men,Shirts,528.99,USD,174,S|M|L|XL|XXL,Maroon|Khaki,Leather
MEN-SHIR-042,HRX Essential Shirts,Premium quality shirts for men. Crafted from polyester for lasting comfort and style.,HRX,Men,Shirts,536.99,USD,103,S|M|L|XL|XXL,Grey|Black|Sky Blue,Polyester
MEN-SHIR-043,Levis Urban Shirts,Premium quality shirts for men. Crafted from polyester for lasting comfort and style.,Levis,Men,Shirts,4458.99,USD,87,S|M|L|XL|XXL,Olive,Polyester
MEN-SHIR-044,Jack & Jones Everyday Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Jack & Jones,Men,Shirts,4952.99,USD,133,S|M|L|XL|XXL,Grey|Navy Blue|Black,Canvas
MEN-SHIR-045,Arrow Signature Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Arrow,Men,Shirts,4062.99,USD,108,S|M|L|XL|XXL,Navy Blue|Sky Blue,Cotton
MEN-SHIR-046,Arrow Essential Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Arrow,Men,Shirts,3750.99,USD,200,S|M|L|XL|XXL,Charcoal|Sky Blue,Leather
MEN-SHIR-047,HRX Signature Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,HRX,Men,Shirts,3233.99,USD,197,S|M|L|XL|XXL,Charcoal,Cotton
MEN-SHIR-048,Zara Man Essential Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Zara Man,Men,Shirts,1415.99,USD,187,S|M|L|XL|XXL,Brown,Leather
MEN-SHIR-049,Levis Premium Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Levis,Men,Shirts,3489.99,USD,124,S|M|L|XL|XXL,Navy Blue|Charcoal|Black,Leather
MEN-SHIR-050,Peter England Essential Shirts,Premium quality shirts for men. Crafted from polyester for lasting comfort and style.,Peter England,Men,Shirts,2778.99,USD,17,S|M|L|XL|XXL,Navy Blue|White|Sky Blue,Polyester
MEN-SHIR-051,Raymond Vintage Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Raymond,Men,Shirts,2357.99,USD,77,S|M|L|XL|XXL,Grey|White,Linen
MEN-SHIR-052,Arrow Classic Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,Arrow,Men,Shirts,2086.99,USD,16,S|M|L|XL|XXL,Olive|Navy Blue|Brown,Denim
MEN-SHIR-053,Peter England Vintage Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,Peter England,Men,Shirts,776.99,USD,92,S|M|L|XL|XXL,Olive|Navy Blue|Black,Denim
MEN-SHIR-054,Levis Premium Shirts,Premium quality shirts for men. Crafted from polyester for lasting comfort and style.,Levis,Men,Shirts,2304.99,USD,154,S|M|L|XL|XXL,Maroon|Navy Blue|Sky Blue,Polyester
MEN-SHIR-055,Zara Man Relaxed Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Zara Man,Men,Shirts,3785.99,USD,29,S|M|L|XL|XXL,Maroon|White|Sky Blue,Linen
MEN-SHIR-056,Zara Man Classic Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Zara Man,Men,Shirts,813.99,USD,170,S|M|L|XL|XXL,Olive|Charcoal|White,Linen
MEN-SHIR-057,Levis Signature Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,Levis,Men,Shirts,2653.99,USD,58,S|M|L|XL|XXL,Brown,Denim
MEN-SHIR-058,Wrangler Classic Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Wrangler,Men,Shirts,3405.99,USD,132,S|M|L|XL|XXL,Sky Blue|Grey|Brown,Cotton
MEN-SHIR-059,Raymond Slim Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Raymond,Men,Shirts,621.99,USD,179,S|M|L|XL|XXL,Navy Blue|Brown,Canvas
MEN-SHIR-060,Zara Man Slim Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Zara Man,Men,Shirts,2019.99,USD,93,S|M|L|XL|XXL,Olive|Grey,Linen
MEN-SHIR-061,Wrangler Signature Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Wrangler,Men,Shirts,3817.99,USD,135,S|M|L|XL|XXL,Black|Khaki|Olive,Canvas
MEN-SHIR-062,Arrow Urban Shirts,Premium quality shirts for men. Crafted from leather for lasting comfort and style.,Arrow,Men,Shirts,3947.99,USD,94,S|M|L|XL|XXL,Grey|Black,Leather
MEN-SHIR-063,Zara Man Relaxed Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Zara Man,Men,Shirts,1812.99,USD,79,S|M|L|XL|XXL,Olive|Grey,Canvas
MEN-SHIR-064,HRX Designer Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,HRX,Men,Shirts,3564.99,USD,15,S|M|L|XL|XXL,White,Cotton
MEN-SHIR-065,Levis Modern Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Levis,Men,Shirts,2575.99,USD,171,S|M|L|XL|XXL,Brown|Navy Blue,Linen
MEN-SHIR-066,Arrow Everyday Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,Arrow,Men,Shirts,4412.99,USD,151,S|M|L|XL|XXL,Khaki,Denim
MEN-SHIR-067,Jack & Jones Urban Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Jack & Jones,Men,Shirts,4071.99,USD,47,S|M|L|XL|XXL,Olive|Brown,Linen
MEN-SHIR-068,Louis Philippe Sporty Shirts,Premium quality shirts for men. Crafted from polyester for lasting comfort and style.,Louis Philippe,Men,Shirts,1911.99,USD,130,S|M|L|XL|XXL,Sky Blue|Navy Blue,Polyester
MEN-SHIR-069,Peter England Vintage Shirts,Premium quality shirts for men. Crafted from linen for lasting comfort and style.,Peter England,Men,Shirts,4895.99,USD,42,S|M|L|XL|XXL,Black|Khaki|Olive,Linen
MEN-SHIR-070,Arrow Relaxed Shirts,Premium quality shirts for men. Crafted from denim for lasting comfort and style.,Arrow,Men,Shirts,4671.99,USD,9,S|M|L|XL|XXL,White|Charcoal,Denim
MEN-SHIR-071,Arrow Modern Shirts,Premium quality shirts for men. Crafted from cotton for lasting comfort and style.,Arrow,Men,Shirts,3367.99,USD,41,S|M|L|XL|XXL,Maroon|Khaki|Charcoal,Cotton
MEN-SHIR-072,Peter England Everyday Shirts,Premium quality shirts for men. Crafted from canvas for lasting comfort and style.,Peter England,Men,Shirts,880.99,USD,115,S|M|L|XL|XXL,Black|Brown,Canvas
